name,prompt,negative_prompt
颜射,"(wide angle),full body, eyelashes, woman,ahegao,(((((jingye,facial,cum))))), parted lips,(shiny skin:1.1),blush,(outdoors), photo referenced,best quality, ultra high res, (photorealistic:1.4), (detailed face and eyes),realcumAI, Style-Moana",
喷奶咖啡,"(((lactating into cup))), 1girl, nipples, cup, table, <lora:lactation_v10:1.6>milk squirting into cup",
SM捆绑,"nsfw, (bdsm:1.5), (bondage:1.5), shibari, (spread legs:1.5), bodysuit, (bind breasts by brown rope:1.5),(bind arms behind), (bind body by rope), (bound thighs and calf by rope:1.5), big breasts,atex suit in black, bra, (high heel:1.5), <lora:bondageSuspension_v10:0.8> ,(sm:1.4)",
男人抱着后,",<lora:reverseSuspended_rscongresslora:0.8>",
奶子托盘,"，breasts on tray,1girl, breast rest,tray, breasts out, large breasts, holding, upper body, holding tray， blush, <lora:breastsOnTray_v10:1>",
骑乘假屌,"((masterpiece, best quality)), masterpiece, best quality, 1girl, full body, animal ears, white hair, print thighhighs, high heel boots, medium breasts, breast out, narrow waist, hime cut, (orgasm, blush, clenched teeth, exausted face:0.9), (heavy breathing:1.2), (naughty face:1.3), [wet, oiled, lubed, shiny skin, dripping, pussy juice, bodily fluids, sweat, wet skin, liquid streaks], full body, (indoor, man's toilet, danshitoire, syobenki, koshitsu, urinals on wall:1.2) (black dildo, dildo riding, sex toy:1.4), vore, cervix, (lactation, intense lactation streak, cum, cum in pussy, cum on face, cum on body, cum pool), looking up, head tilt up, bottomless, ((spread legs, squatting, touching belly)), pectoral bulge, absurd stomach bulge, <lora:hyperPenetration-v7-000002:0.6>, <lora:lactation_v10:1.2>, <lora:ridingDildoSexActLora_v10:1>, <lora:boysRestroomInA_test4:1>,",
背面骑乘假屌," jont usagi, original, jont, 1girl, bangs, blue eyes, blush, breasts, censored, dildo, dildo riding, dutch angle, female masturbation, grey hair, kneeling, long hair, masturbation, medium breasts, mosaic censoring, nipples, nude, object insertion, pussy juice, rabbit ears, sex toy, solo, vaginal, vaginal object insertion, from behind, ass <lora:ridingDildoSexActLora_v10:1>",
喂奶撸管,"best quality, ultra high res, (photorealistic:1.4), nsfw, 1 man, 1 girl, (handjob:1.2), (maid:1.4), beautiful nipples, large breasts, <lora:breastfeedingHandjob_v10:1.2>",
自扣,"nsfw, absurd res, (extremely detailed CG unity 8k wallpaper:1.2), (illustration:0.9), (soft lighting:0.7), (toned:1.2), (smug, smirk:0.9), gbf, almeida, 1girl, solo focus, (cowboy shot), (muscular:0.7), thin waist, (abs:0.8), outdoors, sitting, fingering, schlick, pussy <lora:femaleMasturbation_v1:1>",
走光,"1girl, leaning forward, downblouse, loose t-shirt
 <lora:downblouseForBoobs_v1:1>",
乳交,"beautiful, masterpiece, best quality, extremely detailed face, perfect lighting, 1girl, solo, 1boy, penis, breasts, paizuri, gigantic breasts
 <lora:povPaizuriLora1MB_povpaizuri:1>a big dick in the middle of the tits：1.5",
狗姿势,"masterpiece,1girl,solo, (leotard),bound,bdsm,paw pose,heart-shaped pupils <lora:ConceptHumanDog_v3:0.9> <lora:ahegaoRollingEyes_v1114:0.7>",
怀孕状态,"hyperpregnant,pregnant, <lora:hyperpregnant_hyperpregV2:0.5>",
大屌喷射,"a GIRL taking a cumshot on her face, pov, cum on face, from above, 2boys, 1girl, closed_eyes, hetero, lips, long_hair, penis, realistic, smile, solo_focus, cum, cumshot, ejaculation, jerking off, facial <lora:instantCumshot_v1:0.9>",
颜射2, <lora:instantCumshot_v1:0.6>,
臭脚,"girl in bikini with beautiful feet, soles <lora:feetPoseRealistic_v10:0.4>Feet out in front of camera, focus on feet",
重口被捅穿,"<lora:hyperPenetration_v7e4:0.7>(1boy:1.3), huge penis, (gaping pussy:1.1), (hyper penetration:1.3), (absurd size difference:1.3), (fucked silly:1.2), (ahegao:1.2), (absurd stomach bulge:1.3), (saliva:1.2), miniature girl smaller than giant penis, giant penis bigger than entire body, extreme size difference, penis-shaped distention, in between breasts, pectoral bulge, all the way up torso, penis-shaped distention, giant penis penetrating minigirl",
被男人后入,"sexy, girl wearing a white fabric garterbelt with frilled black embroidery, multiple fabric straps , <lora:garterBelts_v10:0.6>",
像玩具一样躺着,"<lora:specimenGirl_10:0.7>Hyohon,1girl, breasts, nipples, black hair, long hair, skirt, bow, pussy, blush, socks, nude, solo, skirt removed, school uniform, navel, plaid skirt, plaid, green bow, kneehighs, medium breasts, shirt, green skirt, white shirt, bangs, open mouth, bowtie, pleated skirt, yellow eyes, indoors, standing, green bowtie, nose blush, white bra, embarrassed, mosaic censoring, bow bra, wooden floor, clothes removed, shirt removed, looking at viewer, black socks, bow panties, censored,(sex toy:1.4),guns:1.8",
超骚乳贴,"<lora:breastCurtains_v10:1.6>breast curtains:7, areola slip,",
兔子连体衣,"full body, makeup, long hair, hime cut, earrings, absurdly high heels, (translucent bunnysuit, see-through, highleg leotard:1.6), beautiful legs, medium breasts, cum, cum in pussy, cum on face, cum on body, absurd cum pool, pussy juice, spread legs, squatting, serving tray, ",
超骚连体服,"translucent bunnysuit, blonde hair, low ponytail, indoors, see-through, large breasts, highleg leotard, strapless, standing, cowboy shot,<lora
:reverseTranslucent_v10:0.8>full body, makeup, long hair, hime cut, earrings, absurdly high heels, (translucent bunnysuit, see-through, highleg leotard:1.6), beautiful legs, medium breasts, cum, cum in pussy, cum on face, cum on body, absurd cum pool, pussy juice, spread legs, squatting, serving tray, ",
脱内裤,"<lora:pantyPullPantyDrop_pantypullPantydropV1:1>pantypull,pantydrop,panties,(exposing natural pubic pussy vagina),",
超骚露奶兔子服,"reverse outfit,rabbit ears,navel,breasts,revealing clothes <lora:eroticBunnyCostume_eroticBunnyCostume:0.8>",
10根屌围攻,"(naked chest:1.3),best quality, ultra high res, (photorealistic:1.4), crose up, 1 girl, (ulzzang-6500:1.0), (intricate maid crothes:1.4), dark hair, intricate earrings,looking at viewer,big tits, shower water, wet, wet body,glossy skin,cum on breasts,jewelry,briefs,long legs,pendant,underwear,full body, <lora:closeye:0.7>,(one eye closed:1.5),<lora:blowbangLora_v10:0.5>,(blowbang:1.6),<lora:surroundedByPenises_v10:0.2>,(SURROUNDED BY PENISES:1.6),(10 erect PENISES:1.6)",
10根屌喷射,"(naked chest:1.3),best quality, ultra high res, (photorealistic:1.4), crose up, 1 girl, (ulzzang-6500:1.0), (intricate maid crothes:1.4), dark hair, intricate earrings,looking at viewer,big tits, shower water, wet, wet body,glossy skin,cum on breasts,jewelry,briefs,long legs,pendant,underwear,full body, <lora:closeye:0.7>,(one eye closed:1.5),<lora:blowbangLora_v10:0.5>,(blowbang:1.6),<lora:surroundedByPenises_v10:0.2>,(SURROUNDED BY PENISES:1.6),(10 erect PENISES:1.6)

a GIRL taking a cumshot on her face, pov, cum on face, from above, 2boys, 1girl, closed_eyes, hetero, lips, penis, realistic, smile, solo_focus, cum, cumshot, ejaculation, jerking off, facial <lora:instantCumshot_v1:0.6>",
sm另类游行,",extreamly delicate and beautiful,illustration,straight-on,nude, 1girl,1boy, pillory, bound wrists, bondage, bound,,very long hair, (forehead:0.98), breasts, cleavage, navel,thighs, saliva,chains, ass,hetero, condom, full-face blush, embarrassed, sweat,city,street,surrounded, multiple others, exhibitionism, audience, background characters, crowd, public humiliation pov , <lora:ConceptPilloryJiaju_v10:0.51>",
肛门扩充,"(anarubizu:1.4), (sex toy:1.4), looking back, uncensored, no panties, from behind
 <lora:analGapeCreampieLORA_analgapecreampieV2:1.6>",
露逼,"photo of beautiful young woman supermodel with big tits getting missionary anal fucked, masterpiece, perfect lighting, perfect detailed face, extreme close up, stockings, creampie <lora:povMissionaryAnal_V2:0.7>",
经典后入," photo of beautiful woman ass from above, pov doggystyle anal, shirt, stockings perfect lighting, masterpiece, detailed face <lora:doggystylePov_v10:1>",
透视口交," beautiful girl, stunning, sucking a cock, amateur photo, candid, timelapse photo, blurry, (freckles:0.9), deepthroat
<lora:deepthroatXRrayHentai_deepthroatXRay18 (1):0.9>",
小骚比基尼, a cute girl wearing (eyepatch bikini:1.7)<lora:slingshotEyepatch_v11:1>,
小骚比基尼2号, a cute girl wearing (slingshot swimsuit:1.3)<lora:slingshotEyepatch_v11:1>,
口交2号, <lora:povCunnilingusLesbian_v10:1>POV Cunnilingus，nsfw,
颜骑坐脸,"NSFW,nude
 <lora:facesittingGirlSitting_v1:1> sitting_on_face, facesitting,back, behind",
大力捏奶子," <lora:povBreastGrab_:1>realistic photo of (broc-shuqi:1.2), skin pores, textured skin, highly realistic skin, ambient occlusion, (looking at you:1.3),(1boy:1.3), pov, (pov hands:1.6), (breast grab:1.5), nipples ",
活跃的骚逼," oiled, lubed, shiny skin, dripping, pussy juice, bodily fluids, sweat, wet skin, liquid streaks], [[[[anus]]]], <lora:foldedPose_v1:0.4>",
后入2号,"<lora:doggystylePov_v10:0.9>, 2 girls in lingerie, stockings, leather boots, kneeling on ground, light bedroom, realistic, sharp focus, 8k high definition, insanely detailed, intricate, elegant, big boobs, mouth open, tongue out, spit, drool, dripping pussy, wet vagina, raindrops on body, sperm on body, woman covered in sperm, sperm on face, cum on face, face covered in sperm, sperm all over the place, mouth full of cum, two women, one penis, sex, having sex, doggystyle, pov, big ass",
臣服奴隶,"<lora:ConceptDogeza_v10:1>(masterpiece:1.4),(best quality:1.4),realistic,(1girl:1.5),extreamly delicate and beautiful,illustration,1girl,completely nude,ass,dogeza,(from behind),(huge sideboob), on floor,indoors,long hair,skin tight,<lora:sakimiChanLora_v10:0.7> folded clothes, weapon, bra,boots,thighhighs,",
蕾丝比基尼,"cowboy shot, pearl thong, nippleless clothes, bra, crotchless panties, lace trim, <lora:lessUnderwear_v10:1>",
后入侧视图,"masterpiece, best quality, 1girl, 2boys,fellatio, bent over, floating, cum, cum in pussy, facial, dripping cum, pussy juice, corneo_runny_makeup, thighhighs, full body, penis, testicles, breasts,danglingspitroastms,<lora:DanglingSpitroastMS:1> <lora:murkysDangling_1:1>",
骚逼骑马,"<lora:whb-000020:1>, whb, large breasts, white hair, blue eyes, female focus, full body, nude, open mouth, pussy, pussy juice, sweat, trembling, <lora:woodenHorseTestSexAct_v10:1>",
透视眼镜," xray glasses, 1gir, office, from above, breasts, no panties, groin, pussy, office_lady, pants, <lora:xRayGlasses_v00:1>",
后入掰穴,",bottomless, beautiful, masterpiece, best quality, shiny skin,hand on own ass, ass, looking back, spread ass:1.4 ,SpreadAssMS:1.5 ,<lora:murkysSpreadAssLora_1:1>, (broken full body black latex catsuit), (very large breasts), (anus), (pussy), (skinny, thin, narrow waist, narrow hips, small butt),",
乖乖露奶,"((masterpiece, best quality)), (1girl), (mature female), (maid) brown hair, big breast,, curvy, (breast hold), wide hips, thigh strap, white shirt, maid dress, bottomless, open shirt, no panties, nsfw, lactation, cum, cum pool, cum on body, wakamezake, <lora:wakamezakeCumBetweenThighs_v10:1>,cum, cum in mouth, cum on body, cum on breasts, cum on hair, cum on upper body, seiza, indoor,(((jingye)))<lora:cumwaka:1>",
大屌撞脸,"1girl, from above, mature woman, tall female, (black hair, half updo, long hair:1.2), bangs, straight hair, eyelashes, cute face, detailed face, detailed eyes, eyelashes, brown eyes, glasses, staring, parted lips, detailed lips, large breasts, (tan sweater, black long skirt:1.2), penis on face, pov, penis over one eye, penis on head, cheek press, indoors, library, books, bookshelf
 <lora:penisOnFace_penisOnFaceV2:0.8>",
破烂比基尼,"beltbra, 1girl, red eyes, standing, outdoors, sea, sunlight, thighhighs, halterneck, micro panties, areola slip, <lora:beltbra_v10:1>",
机械侵犯,"masterpice,a single pretty young girl, haruhi, suzumiya haruhi no yuuutsu,short dark brown hair,yellow ribbon hair ornament, hollywood actress, detailed hands, looking at viewer, sunny day shadows, hdr, cinematic scene,35mm, big chest, big breasts, nude,arms and legs are spread apart, spread legs, hands to the sides, restrained, bound legs, bound arms,immobilization, sex machine, machinery, robots at the both sides, covered by machinery, <lora:haruhiSuzumiyaLora_1:0.2>, <lora:mechanicalRestraints_20230228:0.85:BASENINALL>",
舞蹈生侧面进攻,"1girl, 1boy, penis, vaginal, completely nude, highly detailed, masterpiece, split, standing_sex, standing_split, against wall<lora:split_lora32V1:0.2>",
被干翻,"nokezori
nokezori, 1girl, breasts, 1boy, dark skin, nipples, tattoo, nude, long hair, dark-skinned female, jewelry, navel, lying, torso grab, on back, white hair, white background, vaginal, spread legs, bracelet, arm tattoo, armlet, choker, large breasts, medium breasts, simple background, wet, interracial, stomach
 <lora:nokezori_v20:0.6>",
喂奶撸管2号,"chunyu:0.3bed pov, (fisheye:1.1), (photorealism), masterpiece, amazing, 4k resolution, photorealistic, best quality, perfect detailed, intricate details 1 girl lying on viewer, smiling, licking viewer's nipple, (holding dick:1.1), looking at viewer, detailed skin, latex skin, coordinate face, detailed eyes, huge breast, bodysuit, a face of perfect proportion from top, steamy, beautiful and clear background <lora:breastfeedingHandjob_v10:0.9>",
嘴爆精,"((cum in mouth)), tongue, too much cum, ((cum)), ((cum on tongue)), cupping hands, own hands together, after fellatio, ahegao, smile, <lora:murkysCumOnTongue_1:1>(((jingye in mouth)))(((jingye)))rolling eyes",
后入透视,"1boy, 1girl, nurse, sex, sex from behind, x-ray, cross-section, uterus, penis hitting uterus, internal cumshot <lora:xRayHentai25_xRayHentai25:1>",
正交透视,"nsfw,nude
x-ray, cross_section, sex, 1boy, 1girl, solo focus, penis, mature female, sitting, spread legs, presenting_pussy, anus, hourglass figure, extremely detailed, hyper detailed,(PERFECT FACE), illustration,soft lighting,2d,intricate, detailed eyes, black hair, hime cut, light blue eyes, purple eyeshadow, original, long hair, mature female, large round breasts, nose_blush, (white tank_top:1.2), blue tight denim skirt, brown belt, cleavage, sexy, slutty, toned, covered nipples, cum in pussy, cumdrip, collar,
 <lora:xRayHentai25_xRayHentai25:0.7>",
透视内射,"nsfw,nude
x-ray, cross_section, sex, 1boy, 1girl, solo focus, penis, mature female, sitting, spread legs, presenting_pussy, anus, hourglass figure, extremely detailed, hyper detailed,(PERFECT FACE), illustration,soft lighting,2d,intricate, detailed eyes, black hair, hime cut, light blue eyes, purple eyeshadow, original, long hair, mature female, large round breasts, nose_blush, (white tank_top:1.2), blue tight denim skirt, brown belt, cleavage, sexy, slutty, toned, covered nipples, cum in pussy, cumdrip, collar,
 <lora:xRayHentai25_xRayHentai25:0.7>",
叉退露逼," black1, 1girl, black pantyhose, cameltoe, cleft of venus, dutch angle, feet out of frame, looking at viewer, no panties, no pants, pantyhose, solo, spread legs, topless, underwear, underwear only, <lora:noPantiesUnderPantyhose_v10:1>",
舔龟头,"<lora:underCoversPOVSexAct_v10:0.8> 1boy, bed, black hair, breasts, clothed sex, cum, cum in mouth, elbow gloves, gloves, glowing, glowing eyes, handjob, hetero, indoors, large breasts, night, pov hands, veins, veiny penis,",
正面骑乘假屌,"1girl, solo, full body, outside,  best quality, very detailed, intricately detailed,  squatting, dildo, DildoRidingBack, from behind, nude, <lora:dildoRidingFromThe_v1:0.6>,nvshang",
背面骑乘假屌2,"1girl, solo, full body, best quality, very detailed, intricately detailed,  squatting, dildo, DildoRidingBack, (((from behind))), nude, <lora:dildoRidingFromThe_v1:0.8>",
穿着内裤露逼,"(looking through legs),high resolution, extremely delicate and beautiful,finely detailed eyes and detailed face,ultra detailed, perfect details, mesugaki face, 1girl, soloig chair couch, relaxed look,A girl is sleeping on her side in a soloig chair couch with both hands holding a book to her chest, her legs apart, wearing a skirt and shiny black leggings, her white polka-dotted panties peeking out,  (panties aside:1.5), pussy, full body
 <lora:pantiesAside_v10:0.5>",
超骚比基尼3,"((((breast curtain)))), thighhighs, sideboob, 1girl, cowboy shot, side slit, midriff, outdoors, <lora:breastCurtains_v10:1>",
肚兜比基尼,"((((breast curtain)))), thighhighs,  cowboy shot, side slit, midriff, outdoors,  <lora:breastCurtain_v10:1.5>,(((sideboob)))",
树叶比基尼,(((leaf bikini))) <lora:leafBikini_v10:1.8>,
真母狗," <lora:leashPOV_domPOV:0.7>leash, leash pull, all fours, leashing_pov, masterpiece, ultra hd, absurdres(((A man pulls a girl leash by the hand)))",
自信健身臀,"1boy, penis, doggystyle, from behind, backboob, blue hair, breasts, clothed female nude male, clothed sex, clothes lift, clothing aside, facing away, large breasts, long sleeves, medium hair, nude, panties, panties aside, panties under pantyhose, pantyhose, ribbed sweater, skirt, sweat, sweater, sweater lift, torn clothes, torn pantyhose, underwear, white panties, white sweater 
 <lora:assOnGlasses_v10:1> ",
张嘴吃屌,"fate extra ccc, fate grand order, fate (series), bb (fate), michael.r, black-framed eyewear, bow, bright pupils, cum, cum in mouth, cumdrip, detached collar, fellatio gesture, glasses, gloves, glowing eyes, gradient, gradient background, hairbow, half-closed eyes, hat, latex, latex gloves, looking at viewer, naughty face, nurse cap, open mouth, oral, oral insinuation, oral invitation, pink ribbon, purple background, purple eyes, purple hair, ribbon, saliva, seductive mouth, shiny, shiny skin, solo, throat, tongue, tongue out, uvula, white gloves, highres,
 <lora:lottalewdsFellatio_v1:0.7>",
张嘴超想吃屌,"((((jingye))))fate extra ccc, fate grand order, fate (series), bb (fate), michael.r, black-framed eyewear, bow, bright pupils, cum, cum in mouth, cumdrip, detached collar, fellatio gesture, glasses, gloves, glowing eyes, gradient, gradient background, hairbow, half-closed eyes, hat, latex, latex gloves, looking at viewer, naughty face, nurse cap, open mouth, oral, oral insinuation, oral invitation, pink ribbon, purple background, purple eyes, purple hair, ribbon, saliva, seductive mouth, shiny, shiny skin, solo, throat, tongue, tongue out, uvula, white gloves, highres,
 <lora:lottalewdsFellatio_v1:0.7>",
张嘴吃屌+牛奶,"fellatio invitation, oral invitation, masterpiece, best quality, bunny ears,halo, large breasts, lips, looking at viewer, open mouth, saliva, solo, teeth, throat, tongue, tongue out, uvula, upper body, upper teeth only, absurdres, highres, large breasts, saliva, dripping mouth, saliva_trail, sweat
<lora:lottalewdsFellatio_v1:0.7>",
重口喝尿,<lora:goldenshower_50:0.9>(((drinking piss)))The penis appears above the screen，((((a photo of a girl drinking piss from a man's  big long penis)))),
屁股被打红,"<lora:spankingAss_v10:1>spanking:1.5,((masterpiece, best quality, high_resolution, distinct_image)) arms up, (against_wall, from behind:1.3), facing_away, ((((spanking)))), (nude, completely_nude:1.3)(masterpiece,best quality),1girl,spanking:1.3,classroom,school uniform,detailed pussy ",
sm木乃伊捆绑," <lora:mummificationDeluxe_mummification:1>(((bondage, girl mummification ,gagged)))",
瑜伽大屁股," from behind, Gray yoga colored pants, Cyan colored shirt, Olden black hair,(RAW photo:1.2),ultra high res ,4k,  instagram,yujia",
绿奴老婆口交,"nsfw, scan, (highres:1.2), (ultra-detailed:1.2), (((traditional media))), (oil painting:0.9), (sketch:1.2), (extremely detailed CG unity 8k wallpaper:1.2), (best shadow), soft lighting, HDR, beautiful detailed sunlight, (paradoxical-back-view-bj-2500:1.3), hand on another's head, (hand_in_another's_hair:1.3), (maid outfit:1.2)",
后入卡墙美女大屁股," photo realistic, through_wall,ass_focus, portrait, anus, pussy face
 <lora:gloryWallAss_v1:0.7>",
美女拉尿,"toiletrec,(pee,peeing:1.6) <lora:japaneseToilet_10:0.7> urine squirting from vagina",
美女挤奶子,"pov, arms_at_sides, paizuri, (((clothed paizuri))), penis:1.5, between breasts, 1boy, 1girl, bloom, hime cut, blunt bangs, playboy bunny, covered nipples, large round breasts, cleavage, (mature female:1.2),
 <lora:povPaizuriLora1MB_povpaizuri:0.9>(((A thick cock between the tits)))",
自信露逼," nsfw, arms up, spread legs, pussy, medium breasts, nipples, bottomless, smile, (high detailed skin:1.4), puffy eyes, gorgeous hair, brown black hair, soft lighting, high quality, cum, cum in pussy, cumdrip,((((jingye)))) <lora:creampie_V11:0.5>",
俏皮吃10屌,"(naked chest:1.3),best quality, ultra high res, (photorealistic:1.4), crose up, (intricate maid crothes:1.4),looking at viewer,big tits, shower water, wet, wet body,glossy skin,cum on breasts,jewelry,briefs,long legs,pendant,underwear,full body,(one eye closed:1.5),<lora:blowbangLora_v10:0.5>,(blowbang:1.6),<lora:surroundedByPenises_v10:0.2>,(SURROUNDED BY PENISES:1.6),(10 erect PENISES:1.6)
 <lora:oneEyeClosed_v10:0.7>(((jingye)))",
大屁股露淫液,"kneeling, from behind <lora:buttsAndBareFeetV10_buttsandbarefeetv10:1> ass spread, from behind, barefoot, feet, toes, spread pussy, spread anus, spread ass, bottomless, pantylines",
叉开腿露逼2,"focus on pussy:1.5, nipples, pussy  <lora:LORARealRefinedPussy_pussy10:1>",
足交大屌,(((footjob))) <lora:footjobLORA_footjobV2Uncensored:0.5>girl rubs foot on guy's cock ,
黑丝足交大屌,"(((footjob))) <lora:footjobLORA_footjobV2Uncensored:0.5>girl rubs foot on guy's cock ,(((wearing pantyhose)))",
屌影面对,"woman,(((( Penis Shadow, shadow)))), photo realistic blonde woman <lora:penisShadowRealistic_v1:0.7>, ",
俏皮小脚,"girl lying down , soles, YOURDETAILS <lora:restOnStomachFeetUp_55:1>",
人体寿司,"blush, nude,(((lying, on back,bottomless,food on body, sushi,fruit,cake slice, chocolate,steak, flower,salad, ice cream)))<lora:ConceptNyotaimoriLite_girlfeastv1:1>",
连体黑丝, <lora:bodystockingConcept_1:1>full body，((bodystocking:1.5)),
坐着后入美女,"doggystyle
 <lora:doggystyle_lora32V1:0.6>looking back,all fours,doggy_style,sex_from_behind",
美女劈叉露逼," highres, 1girl,selfie,anus, soles,Beautiful face, feet, legs_up, looking at viewer, long_hair, pussy, ass, pussy juice, spread pussy
 <lora:showpussywithsit_v10:1>",
回味龟头,"<lora:kissingPenisConcept_v10:1>nsfw,(best shadow), (an extremely delicate and beautiful), finely detail, (((kissing penis))), small breasts, pov",
sm超级捆绑," <lora:himitsuHaneruLora_miHaLorav10:0.6>1girl, bdsm, bondage, bound, bound_ankles, bound_arms, bound_legs, bound_wrists, box_tie, breast_bondage, crotch_rope, red_rope, restrained, rope, shibari, shibari_over_clothes, suspension, arms_behind_back, panties, frogtie, underwear, femdom, tied_up_\(nonsexual\), loafers, saliva, spreader_bar, breasts, bangs, blush, pleated_skirt, skindentation, black_legwear, shirt, skirt, handcuffs, white_hairband, nose_blush, looking_at_viewer, short_dress",
街头舒缓摄影,"photography, masterpiece, best quality, 8K, HDR, highres, absurdres:1.2, Kodak portra 400, film grain, blurry background, bokeh:1.2, lens flare, (vibrant color:1.2)","nsfw, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres
"
